title,nomor,jenis,topik,tahun,status,deskripsi,url
Keputusan Presiden Nomor: 11 TAHUN 1998,11 TAHUN 1998,Keputusan Presiden,"PPh, PPN",1998,Berlaku,penetapan kawasan pengembangan ekonomi terpadu batulicin,https://peraturan.bpk.go.id/Details/58931/keppres-no-11-tahun-1998
Keputusan Presiden Nomor: 12 TAHUN 1998,12 TAHUN 1998,Keputusan Presiden,"PPh, PPN",1998,Berlaku,"penetapan kawasan pengembangan ekonomi terpadu samarinda, sanga-sanga, muara jawa, dan balikpapan",https://peraturan.bpk.go.id/Details/58932/keppres-no-12-tahun-1998
Keputusan Presiden Nomor: 13 TAHUN 1998,13 TAHUN 1998,Keputusan Presiden,"PPh, PPN",1998,Berlaku,penetapan kawasan pengembangan ekonomi terpadu sanggau,https://peraturan.bpk.go.id/Details/58940/keppres-no-13-m-tahun-1998
Keputusan Presiden Nomor: 13/M TAHUN 1998,13/M TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengangkatan keanggotaan badan penyelesaian sengketa pajak,https://peraturan.bpk.go.id/Details/58940/keppres-no-13-m-tahun-1998
Keputusan Presiden Nomor: 14 TAHUN 1998,14 TAHUN 1998,Keputusan Presiden,"PPh, PPN",1998,Berlaku,penetapan kawasan pengembangan ekonomi terpadu manado-bitung,https://peraturan.bpk.go.id/Details/58938/keppres-no-14-tahun-1998
Keputusan Presiden Nomor: 148 TAHUN 1998,148 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan agreement between the government of the republic of indonesia and the government of the republic of south africa for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income,https://peraturan.bpk.go.id/Details/59408/keppres-no-148-tahun-1998
Keputusan Presiden Nomor: 15 TAHUN 1998,15 TAHUN 1998,Keputusan Presiden,"PPh, PPN",1998,Berlaku,penetapan kawasan pengembangan ekonomi terpadu mbay,https://peraturan.bpk.go.id/Details/58946/keppres-no-15-tahun-1998
Keputusan Presiden Nomor: 151 TAHUN 1998,151 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah kerajaan yordania hashimiah tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan,https://peraturan.bpk.go.id/Details/59411/keppres-no-151-tahun-1998
Keputusan Presiden Nomor: 152 TAHUN 1998,152 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah negara kuwait tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan dan modal,https://peraturan.bpk.go.id/Details/59412/keppres-no-152-tahun-1998
Keputusan Presiden Nomor: 153 TAHUN 1998,153 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah republik arab mesir tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan,https://peraturan.bpk.go.id/Details/59413/keppres-no-153-tahun-1998
Keputusan Presiden Nomor: 155 TAHUN 1998,155 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah ukraina tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan beserta protokol,https://peraturan.bpk.go.id/Details/59417/keppres-no-155-tahun-1998
Keputusan Presiden Nomor: 157 TAHUN 1998,157 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah mongolia tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan,https://peraturan.bpk.go.id/Details/59419/keppres-no-157-tahun-1998
Keputusan Presiden Nomor: 158 TAHUN 1998,158 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan penghindaran pajak berganda dan pencegahan pengelakan pajak dan penghindaran pajak atas penghasilan antara republik indonesia dan republik venezuela beserta protokol,https://peraturan.bpk.go.id/Details/59420/keppres-no-158-tahun-1998
Keputusan Presiden Nomor: 160 TAHUN 1998,160 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah republik turki tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan beserta protokol,https://peraturan.bpk.go.id/Details/59427/keppres-no-160-tahun-1998
Keputusan Presiden Nomor: 161 TAHUN 1998,161 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah republik uzbekistan tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan (laba usaha),https://peraturan.bpk.go.id/Details/59429/keppres-no-161-tahun-1998
Keputusan Presiden Nomor: 176 TAHUN 1998,176 TAHUN 1998,Keputusan Presiden,Other,1998,Berlaku,pengesahan persetujuan antara pemerintah republik indonesia dan pemerintah republik arab suriah tentang penghindaran pajak berganda dan pencegahan pengelakan pajak atas penghasilan,https://peraturan.bpk.go.id/Details/59458/keppres-no-176-tahun-1998
